year,playerName,position,batting_order,school
2022,Sacco, Tommy,SS,6,TCU
2022,Spenrath, Reed,DH,7,TCU
2022,Byrne, Kurtis,C,8,TCU
2022,Maxwell, Logan,LF,9,TCU
2022,Cornelio, Riley,P,SP,TCU
2022,Banjoff, Leighton,RF,1,Nebraska
2022,Everitt, Griffin,C,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Chick, Cam,CF,4,Nebraska
2022,Gomes, Colby,1B,5,Nebraska
2022,Caron, Josh,DH,6,Nebraska
2022,Jackson, Core,2B,7,Nebraska
2022,Matthews, Brice,SS,8,Nebraska
2022,Swansen, Gabe,LF,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Nunez, Elijah,CF,1,TCU
2022,Boyers, Luke,RF,2,TCU
2022,Taylor, Brayden,3B,3,TCU
2022,Bishop, David,1B,4,TCU
2022,Rodgers, Gray,2B,5,TCU
2022,Sacco, Tommy,SS,6,TCU
2022,Spenrath, Reed,DH,7,TCU
2022,Brown, Porter,LF,8,TCU
2022,Goodloe, Bobby,C,9,TCU
2022,Walker, Brett,P,SP,TCU
2022,Matthews, Brice,SS,1,Nebraska
2022,Everitt, Griffin,C,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Chick, Cam,LF,4,Nebraska
2022,Banjoff, Leighton,RF/LF,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Swansen, Gabe,DH,7,Nebraska
2022,Sartori, Luke,CF,8,Nebraska
2022,Cervantes, Efry,2B,9,Nebraska
2022,Frank, Koty,P,SP,Nebraska
2022,Fontenot, Larson,CF,1,Northwestern St.
2022,Stuart, Daunte,2B,2,Northwestern St.
2022,Holmes, Bryce,3B,3,Northwestern St.
2022,Willis, Bo,C,4,Northwestern St.
2022,Holmes, Broch,LF,5,Northwestern St.
2022,Rowlett, Gray,1B,6,Northwestern St.
2022,Vega, Miguel,DH,7,Northwestern St.
2022,Colaianni, Gabe,RF,8,Northwestern St.
2022,Sibley, Cam,SS,9,Northwestern St.
2022,Carver, Cal,P,SP,Northwestern St.
2022,Matthews, Brice,SS,1,Nebraska
2022,Everitt, Griffin,C,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Chick, Cam,CF,4,Nebraska
2022,Banjoff, Leighton,RF/LF,5,Nebraska
2022,Jessen, Luke,LF,6,Nebraska
2022,Caron, Josh,DH,7,Nebraska
2022,Steil, Jack,1B,8,Nebraska
2022,Cervantes, Efry,2B,9,Nebraska
2022,Perry, Kyle,P,SP,Nebraska
2022,VanVooren, David,CF,1,UT Arlington
2022,Henry, Zach,LF,2,UT Arlington
2022,Ponce, Oscar,1B,3,UT Arlington
2022,Galvan, Wilson,RF,4,UT Arlington
2022,Brown, Jaden,DH,5,UT Arlington
